# Authors : Ludovic Fierville, Philippe Aubé
SOURCELONG:Document de Référence du Système (version 3.5)	SOURCESHORT:DRS	SOURCEWEB:http://www.wizards.com/default.asp?x=d20/article/srd35

Acid (Flask).MOD				OUTPUTNAME:Acide (flasque)
Alchemist's Fire (Flask).MOD	OUTPUTNAME:Feu grégeois
Antitoxin (Vial).MOD			OUTPUTNAME:Antidote
Everburning Torch.MOD			OUTPUTNAME:Torche éternelle
Holy Water (Flask).MOD			OUTPUTNAME:Eau bénite (flasque)
Smokestick.MOD					OUTPUTNAME:Bâton fumigène
Sunrod.MOD						OUTPUTNAME:Bâton éclairant
Tanglefoot Bag.MOD				OUTPUTNAME:Sacoche immobilisante
Thunderstone.MOD				OUTPUTNAME:Pierre à tonnerre
Tindertwig.MOD					OUTPUTNAME:Allume-feu
			
Outfit (Artisan's).MOD			OUTPUTNAME:Tenue d'artisan
Vestments (Cleric's).MOD		OUTPUTNAME:Habits sacerdotaux de prêtre
Outfit (Cold Weather).MOD		OUTPUTNAME:Tenue polaire
Outfit (Courtier's).MOD			OUTPUTNAME:Habits de cour
Outfit (Entertainer's).MOD		OUTPUTNAME:Costume d'artiste
Outfit (Explorer's).MOD			OUTPUTNAME:Vêtements d'explorateur
Outfit (Monk's).MOD				OUTPUTNAME:Vêtements de moine
Outfit (Noble's).MOD			OUTPUTNAME:Vêtements de noble
Outfit (Peasant's).MOD			OUTPUTNAME:Vêtements de paysan
Outfit (Royal).MOD				OUTPUTNAME:Toilette royale
Outfit (Scholar's).MOD			OUTPUTNAME:Vêtements d'érudit
Outfit (Traveler's).MOD			OUTPUTNAME:Tenue de voyage
			
Ale (Gallon).MOD				OUTPUTNAME:Bière (tonnelet)
Ale (Mug).MOD					OUTPUTNAME:Bière (choppe)
Banquet (Per Person).MOD		OUTPUTNAME:Banquet (par personne)
Bread (Loaf).MOD				OUTPUTNAME:Pain (miche)
Cheese (Hunk).MOD				OUTPUTNAME:Fromage (portion)
Inn (Good/Per Day).MOD			OUTPUTNAME:Séjour dans une bonne auberge
Inn (Common/Per Day).MOD		OUTPUTNAME:Séjour dans une auberge moyenne
Inn (Poor/Per Day).MOD			OUTPUTNAME:Séjour dans une mauvaise auberge
Meals (Good/Per Day).MOD		OUTPUTNAME:Repas de bonne qualité (par jour)
Meals (Common/Per Day).MOD		OUTPUTNAME:Repas de qualité moyenne (par jour)
Meals (Poor/Per Day).MOD		OUTPUTNAME:Repas de mauvaise qualité (par jour)
Meat (Chunk).MOD				OUTPUTNAME:Viande (portion)
Wine (Common/Pitcher).MOD		OUTPUTNAME:Vin moyen (pichet)
Wine (Fine/Bottle).MOD			OUTPUTNAME:Vin fin (bouteille)
Water (Pint).MOD				OUTPUTNAME:Eau (demi-litre)
			
Backpack.MOD	OUTPUTNAME:Sac à dos
Barrel.MOD	OUTPUTNAME:Tonneau
Basket.MOD	OUTPUTNAME:Panier
Bedroll.MOD	OUTPUTNAME:Paillase
Bell.MOD	OUTPUTNAME:Cloche
Blanket (Winter).MOD	OUTPUTNAME:Couverture (chaude)
Block and Tackle.MOD	OUTPUTNAME:Palan
Bottle (Glass/Wine).MOD	OUTPUTNAME:Bouteille (en verre)
Bucket.MOD	OUTPUTNAME:Seau
Caltrops.MOD	OUTPUTNAME:Chausse-trappes
Candle.MOD	OUTPUTNAME:Bougie
Canvas (Sq. Yd.).MOD	OUTPUTNAME:Toile (1m²)
Case (Map or Scroll).MOD	OUTPUTNAME:Étui à carte ou parchemin
Chain (10 Ft.).MOD	OUTPUTNAME:Chaîne (3m)
Chalk (1 piece).MOD	OUTPUTNAME:Craie (un bâtonnet)
Chest.MOD	OUTPUTNAME:Coffre
Crowbar.MOD	OUTPUTNAME:Pied-de-biche
Firewood (Per Day).MOD	OUTPUTNAME:Bois de chauffage (pour un jour)
Fishhook.MOD	OUTPUTNAME:Hameçon
Fishing Net (25 Sq. Ft.).MOD	OUTPUTNAME:Filet de pêche (2,5 m²)
Flask (Empty).MOD	OUTPUTNAME:Flasque (vide)
Flint and Steel.MOD	OUTPUTNAME:Silex et amorce
Grappling Hook.MOD	OUTPUTNAME:Grappin
Hammer.MOD	OUTPUTNAME:Marteau
Ink (1 Oz. Vial).MOD	OUTPUTNAME:Encre (fiole)
Inkpen.MOD	OUTPUTNAME:Plume d'écriture
Jug (Clay).MOD	OUTPUTNAME:Jarre en terre cuite
Ladder (10 Ft.).MOD	OUTPUTNAME:Échelle (3m)
Lamp (Common).MOD	OUTPUTNAME:Lampe ordinaire
Lantern (Bullseye).MOD	OUTPUTNAME:Lanterne à capote
Lantern (Hooded).MOD	OUTPUTNAME:Lanterne sourde
Lock (Very Simple).MOD	OUTPUTNAME:Cadenas très simple
Lock (Average).MOD	OUTPUTNAME:Cadenas de qualité moyenne
Lock (Good).MOD	OUTPUTNAME:Cadenas de bonne qualité
Lock (Amazing).MOD	OUTPUTNAME:Cadenas d'excellente qualité
Manacles (Small).MOD	OUTPUTNAME:Menottes (petite taille)
Manacles (Medium).MOD	OUTPUTNAME:Menottes (taille moyenne)
Manacles (Large).MOD	OUTPUTNAME:Menottes (grande taille)
Manacles (Huge).MOD	OUTPUTNAME:Menottes (très grande taille)
Manacles (Masterwork/Small).MOD	OUTPUTNAME:Menottes (de maître, petite taille)
Manacles (Masterwork/Medium).MOD	OUTPUTNAME:Menottes (de maître, taille moyenne)
Manacles (Masterwork/Large).MOD	OUTPUTNAME:Menottes (de maître, grande taille)
Manacles (Masterwork/Huge).MOD	OUTPUTNAME:Menottes (de maître, très grande taille)
Mirror (Small/Steel).MOD	OUTPUTNAME:Miroir (petit en acier)
Mug or Tankard (Clay).MOD	OUTPUTNAME:Chope en terre cuite
Oil (1 Pt. Flask).MOD	OUTPUTNAME:Huile (flasque)
Paper (Sheet).MOD	OUTPUTNAME:Papier (feuille)
Parchment (Sheet).MOD	OUTPUTNAME:Parchemin (feuille)
Pick (Miner's).MOD	OUTPUTNAME:Pioche de mineur
Pitcher (Clay).MOD	OUTPUTNAME:Cruche en terre cuite
Piton.MOD	OUTPUTNAME:Piton
Pole (10 Ft.).MOD	OUTPUTNAME:Perche (3m)
Pot (Iron).MOD	OUTPUTNAME:Pot en fer
Pouch (Belt).MOD	OUTPUTNAME:Sacoche de ceinture
Ram (Portable).MOD	OUTPUTNAME:Bélier portatif
Rations (Trail/Per Day).MOD	OUTPUTNAME:Rations de survie (par jour)
Rope (Hempen/50 Ft.).MOD	OUTPUTNAME:Corde (chanvre, 15m)
Rope (Silk/50 Ft.).MOD	OUTPUTNAME:Corde (soie, 15 m)
Sack.MOD	OUTPUTNAME:Sac à dos
Sealing Wax.MOD	OUTPUTNAME:Cire à cacheter
Sewing Needle.MOD	OUTPUTNAME:Aiguille à coudre
Signal Whistle.MOD	OUTPUTNAME:Sifflet
Signet Ring.MOD	OUTPUTNAME:Chevalière
Sledge.MOD	OUTPUTNAME:Masse
Soap (Per Lb.).MOD	OUTPUTNAME:Savon (1 livre)
Spade or Shovel.MOD	OUTPUTNAME:Pelle ou bèche
Spyglass.MOD	OUTPUTNAME:Longue-vue
Tent.MOD	OUTPUTNAME:Tente
Torch.MOD	OUTPUTNAME:Torche éternelle
Vial.MOD	OUTPUTNAME:Flacon
Waterskin.MOD	OUTPUTNAME:Outre
Waterskin (Filled).MOD	OUTPUTNAME:Outre pleine
Whetstone.MOD	OUTPUTNAME:Pierre à aiguiser
			
Bit and Bridle.MOD	OUTPUTNAME:Mors et bride
Dog (Guard).MOD	OUTPUTNAME:Chien de garde
Dog (Riding).MOD	OUTPUTNAME:Chien de selle
Donkey.MOD	OUTPUTNAME:Âne
Mule.MOD	OUTPUTNAME:Mule
Feed (Per Day).MOD	OUTPUTNAME:Nourriture pour animaux (par jour)
Horse (Heavy).MOD	OUTPUTNAME:Cheval lourd
Horse (Light).MOD	OUTPUTNAME:Cheval léger
Warhorse (Heavy).MOD	OUTPUTNAME:Cheval de guerre lourd
Warhorse (Light).MOD	OUTPUTNAME:Cheval de guerre léger
Pony.MOD	OUTPUTNAME:Poney
Warpony.MOD	OUTPUTNAME:Poney de guerre
Saddle (Military).MOD	OUTPUTNAME:Selle de guerre
Saddle (Pack).MOD	OUTPUTNAME:Selle de bât
Saddle (Riding).MOD	OUTPUTNAME:Selle d 'équitation
Saddle (Exotic Military).MOD	OUTPUTNAME:Selle exotique de guerre
Saddle (Exotic Pack).MOD	OUTPUTNAME:Selle exotique de bât
Saddle (Exotic Riding).MOD	OUTPUTNAME:Selle exotique d'équitation
Saddlebags.MOD	OUTPUTNAME:Fontes
Stabling (Per Day).MOD	OUTPUTNAME:Écurie (pour une journée)
			
Alchemist's Lab.MOD	OUTPUTNAME:Laboratoire d'alchimie
Artisan's Tools (Armorsmithing).MOD	OUTPUTNAME:Outils de fabricant d'armures
Artisan's Tools (Bowmaking).MOD	OUTPUTNAME:Outils de fabricant d'arcs
Artisan's Tools (Blacksmithing).MOD	OUTPUTNAME:Outils de maréchal-ferrand
Artisan's Tools (Carpentry).MOD	OUTPUTNAME:Outils de charpentier
Artisan's Tools (Leatherworking).MOD	OUTPUTNAME:Outils de tailleur de cuir
Artisan's Tools (Painting).MOD	OUTPUTNAME:Outils de peintre
Artisan's Tools (Pottery).MOD	OUTPUTNAME:Outils de potier
Artisan's Tools (Sculpting).MOD	OUTPUTNAME:Outils de sculpteur
