# Original Entry by: Pascal Bousquet

# Skill Name
Acrobatics.MOD							SORTKEY:Acrobaties									OUTPUTNAME:Acrobaties
Appraise.MOD							SORTKEY:Estimation                              	OUTPUTNAME:Estimation
Bluff.MOD								SORTKEY:Bluff                                   	OUTPUTNAME:Bluff
Climb.MOD								SORTKEY:Escalade                                	OUTPUTNAME:Escalade
Craft (Alchemy).MOD						SORTKEY:Artisanat (alchimie)                    	OUTPUTNAME:Artisanat (alchimie)
Craft (Armor).MOD						SORTKEY:Artisanat (fabrication de paniers)      	OUTPUTNAME:Artisanat (fabrication de paniers)
Craft (Baskets).MOD						SORTKEY:Artisanat (fabrication de livres)       	OUTPUTNAME:Artisanat (fabrication de livres)
Craft (Books).MOD						SORTKEY:Artisanat (fabrication d'armures)       	OUTPUTNAME:Artisanat (fabrication d'armures)
Craft (Bows).MOD						SORTKEY:Artisanat (fabrication d'arcs)          	OUTPUTNAME:Artisanat (fabrication d'arcs)
Craft (Calligraphy).MOD					SORTKEY:Artisanat (Calligraphie)                	OUTPUTNAME:Artisanat (Calligraphie)
Craft (Carpentry).MOD					SORTKEY:Artisanat (charpenterie)                	OUTPUTNAME:Artisanat (charpenterie)
Craft (Cloth).MOD						SORTKEY:Artisanat (fabrication de vétements)    	OUTPUTNAME:Artisanat (fabrication de vétements)
Craft (Clothing).MOD					SORTKEY:Artisanat (fabrication )                	OUTPUTNAME:Artisanat (fabrication )
Craft (Glass).MOD						SORTKEY:Artisanat (fabrication de verre)        	OUTPUTNAME:Artisanat (fabrication de verre)
Craft (Jewelry).MOD						SORTKEY:Artisanat (fabrication de bijoux)       	OUTPUTNAME:Artisanat (fabrication de bijoux)
Craft (Leather).MOD						SORTKEY:Artisanat (maroquinerie)                	OUTPUTNAME:Artisanat (maroquinerie)
Craft (Locks).MOD						SORTKEY:Artisanat (serrurerie)                  	OUTPUTNAME:Artisanat (serrurerie)
Craft (Paintings).MOD					SORTKEY:Artisanat (peinture)                    	OUTPUTNAME:Artisanat (peinture)
Craft (Pottery).MOD						SORTKEY:Artisanat (poterie)                     	OUTPUTNAME:Artisanat (poterie)
Craft (Sculptures).MOD					SORTKEY:Artisanat (sculpture)                   	OUTPUTNAME:Artisanat (sculpture)
Craft (Ships).MOD						SORTKEY:Artisanat (fabrication de navires)      	OUTPUTNAME:Artisanat (fabrication de navires)
Craft (Shoes).MOD						SORTKEY:Artisanat (fabrication de chaussures)   	OUTPUTNAME:Artisanat (fabrication de chaussures)
Craft (Stonemasonry).MOD				SORTKEY:Artisanat (taille de pierre)            	OUTPUTNAME:Artisanat (taille de pierre)
Craft (Traps).MOD						SORTKEY:Artisanat (fabrication de pièges)       	OUTPUTNAME:Artisanat (fabrication de pièges)
Craft (Untrained).MOD					SORTKEY:Artisanat (sans entraînement)           	OUTPUTNAME:Artisanat (sans entraînement)
Craft (Weapons).MOD						SORTKEY:Artisanat (fabrication d'armes)         	OUTPUTNAME:Artisanat (fabrication d'armes)
Diplomacy.MOD							SORTKEY:Diplomatie                              	OUTPUTNAME:Diplomatie
Disable Device.MOD						SORTKEY:Désamorcage/sabotage                    	OUTPUTNAME:Désamorcage/sabotage
Disguise.MOD							SORTKEY:Déguisement                             	OUTPUTNAME:Déguisement
Escape Artist.MOD						SORTKEY:Evasion                                 	OUTPUTNAME:Evasion
Fly.MOD									SORTKEY:Vol                                     	OUTPUTNAME:Vol
Handle Animal.MOD						SORTKEY:Dressage                                	OUTPUTNAME:Dressage
Heal.MOD								SORTKEY:Premiers secours                        	OUTPUTNAME:Premiers secours
Intimidate.MOD							SORTKEY:Intimidation                            	OUTPUTNAME:Intimidation
Knowledge (Arcana).MOD					SORTKEY:Connaissances (mystères)                	OUTPUTNAME:Connaissances (mystères)
Knowledge (Dungeoneering).MOD			SORTKEY:Connaissances (exploration souterraine) 	OUTPUTNAME:Connaissances (exploration souterraine)
Knowledge (Engineering).MOD				SORTKEY:Connaissances (architecture et ingénierie)	OUTPUTNAME:Connaissances (architecture et ingénierie)
Knowledge (Geography).MOD				SORTKEY:Connaissances (géographie)               	OUTPUTNAME:Connaissances (géographie)
Knowledge (History).MOD					SORTKEY:Connaissances (histoire)                 	OUTPUTNAME:Connaissances (histoire)
Knowledge (Local).MOD					SORTKEY:Connaissances (folklore local)           	OUTPUTNAME:Connaissances (folklore local)
Knowledge (Nature).MOD					SORTKEY:Connaissances (nature)                   	OUTPUTNAME:Connaissances (nature)
Knowledge (Nobility).MOD				SORTKEY:Connaissances (noblesse et royauté)      	OUTPUTNAME:Connaissances (noblesse et royauté)
Knowledge (Planes).MOD					SORTKEY:Connaissances (plans)                    	OUTPUTNAME:Connaissances (plans)
Knowledge (Religion).MOD				SORTKEY:Connaissances (religion)                 	OUTPUTNAME:Connaissances (religion)
Linguistics.MOD							SORTKEY:Linguistique                             	OUTPUTNAME:Linguistique
Perception.MOD							SORTKEY:Perception                               	OUTPUTNAME:Perception
Perform (Act).MOD						SORTKEY:Représentation (scène)                   	OUTPUTNAME:Représentation (scène)
Perform (Comedy).MOD					SORTKEY:Représentation (comédie)                 	OUTPUTNAME:Représentation (comédie)
Perform (Dance).MOD						SORTKEY:Représentation (danse)                   	OUTPUTNAME:Représentation (danse)
Perform (Keyboard Instruments).MOD		SORTKEY:Représentation (claviers)                	OUTPUTNAME:Représentation (claviers)
Perform (Oratory).MOD					SORTKEY:Représentation (oraison)                 	OUTPUTNAME:Représentation (oraison)
Perform (Percussion Instruments).MOD	SORTKEY:Représentation (percussions)             	OUTPUTNAME:Représentation (percussions)
Perform (Sing).MOD						SORTKEY:Représentation (chant)                   	OUTPUTNAME:Représentation (chant)
Perform (String Instruments).MOD		SORTKEY:Représentation (cordes)                  	OUTPUTNAME:Représentation (cordes)
Perform (Untrained).MOD					SORTKEY:Représentation (sans entraînement)       	OUTPUTNAME:Représentation (sans entraînement)
Perform (Wind Instruments).MOD			SORTKEY:Représentation (vents)                   	OUTPUTNAME:Représentation (vents)
Profession (Architect).MOD				SORTKEY:Profession (Architecte)                  	OUTPUTNAME:Profession (Architecte)
